article_transformed,views_ceil,rank
Diego Maradona,1500,390
"Fantasmes_(film,_2021)",1500,390
Dan Bilzerian,1500,390
Baptiste Santamaria,1500,390
List of Bleach episodes,1500,390
Romane Bohringer,1500,390
Sonia_Mabrouk,1500,390
Peter Bosz,1500,390
Naruto,1500,390
Aretha Franklin,1500,390
Monts_du_Forez,1500,390
Perdita Weeks,1500,390
Anthony_Dupray,1500,390
Amy Winehouse,1500,390
Islamic_Emirate_of_Afghanistan,1500,390
Jane Fonda,1500,390
Marlène Schiappa,1500,390
Carole Bouquet,1500,390
Margot Robbie,1500,390
Johnny Hallyday,1500,390
Xavier Bertrand,1500,390
Yannick Noah,1500,390
Jul (rapper),1500,390
Karine Le Marchand,1500,390
Valéry Giscard d'Estaing,1500,390
Monaco,1500,390
Civitas (movement),1500,390
Astrological sign,1500,390
Nassim_Si_Ahmed,1500,390
Panjshir Valley,1500,390
Germany,1500,390
Olympique de Marseille,1500,390
Georges Brassens,1500,390
Gérard Depardieu,1500,390
Nus_et_culottés,1500,390
Nuclear fusion,1500,390
Unplanned,1500,390
Titane (film),1500,390
Britney Spears,1400,437
Clint Eastwood,1400,437
Winston Churchill,1400,437
The Young and the Restless,1400,437
Soviet Union,1400,437
Élodie Frenck,1400,437
Canada,1400,437
XIII (comics),1400,437
Charlie Wilson's War (film),1400,437
Stéphane Pocrain,1400,437
Titanic,1400,437
Virus_Ebola,1400,437
Suzane,1400,437
Bixente Lizarazu,1400,437
Vincent Grass,1400,437
Chute_de_Kaboul,1400,437
Charlemagne,1400,437
Charles de Gaulle,1400,437
"Charles, Prince of Wales",1400,437
United Arab Emirates,1400,437
Lionnel_Astier,1400,437
Pirates of the Caribbean (film series),1400,437
Marseille,1400,437
Jean Jouzel,1400,437
Philippe_de_Dieuleveult,1400,437
Greek alphabet,1400,437
Outer Banks,1400,437
Ivo Grbić (footballer),1400,437
Guillaume Gouix,1400,437
Mandibles (film),1400,437
Queer,1400,437
Ferhat Mehenni,1400,437
Mohammad Najibullah,1400,437
Lyon,1400,437
FC Barcelona,1400,437
Olivier Giroud,1400,437
Eminem,1400,437
Mohammed Zahir Shah,1400,437
Karim Benzema,1400,437
Eiffel Tower,1400,437
Hermann's tortoise,1400,437
Edward VIII,1400,437
Nicolas Sarkozy,1400,437
Harlan Coben,1400,437
List of presidents of the United States,1400,437
Shahada,1400,437
Dune (2021 film),1400,437
Patrick Swayze,1400,437
Iran,1300,485
Amélie Nothomb,1300,485
Vanuatu,1300,485
Virginie Ledoyen,1300,485
O. J. Simpson,1300,485
Mario Götze,1300,485
Joyce Jonathan,1300,485
List of presidents of France,1300,485
André-Pierre Gignac,1300,485
Liste_des_indicatifs_téléphoniques_en_France,1300,485
André Dussollier,1300,485
Zendaya,1300,485
Just Fontaine,1300,485
Bottarga,1300,485
Marie_Portolano,1300,485
Malta,1300,485
World War II,1300,485
Helen McCrory,1300,485
Jermaine O'Neal,1300,485
Witold Pilecki,1300,485
Jennifer Lopez,1300,485
Mélanie Doutey,1300,485
Île de Ré,1300,485
Hazaras,1300,485
Abdullah Abdullah,1300,485
Ronaldinho,1300,485
Bear Grylls,1300,485
Samuel Le Bihan,1300,485
RNA vaccine,1300,485
Test,1300,485
Qatar,1300,485
Flore_Bonaventura,1300,485
The Cook of Castamar,1300,485
Blake Lively,1300,485
Philippe Duquesne,1300,485
Selma Blair,1300,485
Patrick_Mille,1300,485
Spain,1300,485
The White Lotus,1300,485
Pashto,1300,485
Graphene,1300,485
Guadeloupe,1300,485
Clara Luciani,1300,485
Gulbuddin Hekmatyar,1300,485
U.S. state,1300,485
Simone Veil,1300,485
Northern Alliance,1300,485
Russia,1300,485
Sergio Ramos,1200,533
Economy of Afghanistan,1200,533
Bourg-en-Bresse,1200,533
Australian Shepherd,1200,533
Luc Montagnier,1200,533
Asperger syndrome,1200,533
Confinements_liés_à_la_pandémie_de_Covid-19_en_France,1200,533
Cassandra,1200,533
Martin Braithwaite,1200,533
Christophe Willem,1200,533
Dua Lipa,1200,533
